service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21S-H50S000S-80-S,1,1,1,1,1,0,0,20210823,20211001
21S-H50S000S-80-SV,0,0,0,0,1,0,0,20210823,20211001
21S-H54S000S-85-S,1,1,1,1,1,0,0,20210823,20211001
21S-H55S000S-81-S,1,1,1,1,1,0,0,20210823,20211022
21S-H55S000S-81-SV,0,0,0,0,1,0,0,20210823,20211022
21S-H56S000S-80-S,1,1,1,1,1,0,0,20210823,20211001
21S-H56S000S-80-SV,0,0,0,0,1,0,0,20210823,20211001
21S-H57S000S-82-S,1,1,1,1,1,0,0,20210823,20211022
21S-H58S000S-84-S,1,1,1,1,1,0,0,20210823,20211001
21S-H59S000S-83-S,1,1,1,1,1,0,0,20210823,20211001
21S-H59S000S-83-SV,0,0,0,0,1,0,0,20210823,20211001
21S-H60S000S-81-S,1,1,1,1,1,0,0,20210823,20211001
21S-H62S000S-00-S,1,1,1,1,1,0,0,20210823,20211022
21S-GLOBAUX-00-S,1,1,1,1,1,0,0,20210823,20211022
21S-H50S000A-04-A,0,0,0,0,0,1,0,20210828,20211023
21S-H54S000A-01-A,0,0,0,0,0,1,0,20210828,20211023
21S-H55S000A-01-A,0,0,0,0,0,1,0,20210828,20211023
21S-H56S000A-00-A,0,0,0,0,0,1,0,20210828,20211002
21S-H57S000A-01-A,0,0,0,0,0,1,0,20210828,20211023
21S-H58S000A-00-A,0,0,0,0,0,1,0,20210828,20211023
21S-H59S000A-80-A,0,0,0,0,0,1,0,20210828,20211023
21S-H60S000A-02-A,0,0,0,0,0,1,0,20210828,20211002
21S-H62S000A-00-A,0,0,0,0,0,1,0,20210828,20211023
21S-GLOBAUX-00-A,0,0,0,0,0,1,0,20210828,20211023
21S-H50S000I-05-I,0,0,0,0,0,0,1,20210829,20211024
21S-H54S000I-01-I,0,0,0,0,0,0,1,20210829,20211024
21S-H55S000I-01-I,0,0,0,0,0,0,1,20210829,20211024
21S-H56S000I-00-I,0,0,0,0,0,0,1,20210829,20211003
21S-H57S000I-01-I,0,0,0,0,0,0,1,20210829,20211024
21S-H58S000I-01-I,0,0,0,0,0,0,1,20210829,20211024
21S-H59S000I-81-I,0,0,0,0,0,0,1,20210829,20211024
21S-H60S000I-00-I,0,0,0,0,0,0,1,20210829,20211003
21S-H62S000I-00-I,0,0,0,0,0,0,1,20210829,20211024
21S-GLOBAUX-00-I,0,0,0,0,0,0,1,20210829,20211024
21S-H50S100F-01-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H54S100F-06-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H55S100F-01-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H56S100F-00-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H57S100F-01-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H58S100F-01-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H59S100F-00-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H60S100F-00-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H62S100F-00-F1,1,0,0,0,0,0,0,20210906,20210906
21S-GLOBAUX-00-F1,1,0,0,0,0,0,0,20210906,20210906
21S-H50S000S-83-S,1,1,1,1,1,0,0,20211004,20211022
21S-H50S000S-83-SV,0,0,0,0,1,0,0,20211004,20211022
21S-H54S000S-86-S,1,1,1,1,1,0,0,20211004,20211022
21S-H56S000S-83-S,1,1,1,1,1,0,0,20211004,20211022
21S-H56S000S-83-SV,0,0,0,0,1,0,0,20211004,20211022
21S-H58S000S-87-S,1,1,1,1,1,0,0,20211004,20211022
21S-H59S000S-86-S,1,1,1,1,1,0,0,20211004,20211022
21S-H59S000S-86-SV,0,0,0,0,1,0,0,20211004,20211022
21S-H60S000S-84-S,1,1,1,1,1,0,0,20211004,20211022
21S-H56S000A-01-A,0,0,0,0,0,1,0,20211009,20211023
21S-H60S000A-03-A,0,0,0,0,0,1,0,20211009,20211023
21S-H56S000I-01-I,0,0,0,0,0,0,1,20211010,20211024
21S-H60S000I-01-I,0,0,0,0,0,0,1,20211010,20211024
21S-H50S200F-01-F2,1,0,0,0,0,0,0,20211011,20211011
21S-H54S200F-11-F2,1,0,0,0,0,0,0,20211011,20211011
21S-H55S200F-01-F2,1,0,0,0,0,0,0,20211011,20211011
21S-H56S200F-01-F2,1,0,0,0,0,0,0,20211011,20211011
21S-H57S200F-01-F2,1,0,0,0,0,0,0,20211011,20211011
21S-H58S200F-01-F2,1,0,0,0,0,0,0,20211011,20211011
21S-H59S200F-00-F2,1,0,0,0,0,0,0,20211011,20211011
21S-H60S200F-02-F2,1,0,0,0,0,0,0,20211011,20211011
21S-H62S200F-00-F2,1,0,0,0,0,0,0,20211011,20211011
21S-GLOBAUX-00-F2,1,0,0,0,0,0,0,20211011,20211011
21N-H50N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H50N000S-82-SV,0,0,0,0,1,0,0,20211025,20211217
21N-H54N000S-84-S,1,1,1,1,1,0,0,20211025,20211217
21N-H55N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H55N000S-82-SV,0,0,0,0,1,0,0,20211025,20211217
21N-H56N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H56N000S-82-SV,0,0,0,0,1,0,0,20211025,20211217
21N-H57N000S-83-S,1,1,1,1,1,0,0,20211025,20211217
21N-H58N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H59N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H59N000S-82-SV,0,0,0,0,1,0,0,20211025,20211217
21N-H60N000S-01-S,1,1,1,1,1,0,0,20211025,20211217
21N-H62N000S-00-S,1,1,1,1,1,0,0,20211025,20211217
21N-GLOBAUX-00-S,1,1,1,1,1,0,0,20211025,20211231
21N-H50N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H54N000A-00-A,0,0,0,0,0,1,0,20211030,20211218
21N-H55N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H56N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H57N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H58N000A-00-A,0,0,0,0,0,1,0,20211030,20211218
