service_id,date,exception_type
21S-H50S000S-80-S,20210906,2
21S-H50S000S-83-S,20211011,2
21S-H54S000S-85-S,20210906,2
21S-H54S000S-86-S,20211011,2
21S-H55S000S-81-S,20210906,2
21S-H55S000S-81-S,20211011,2
21S-H56S000S-80-S,20210906,2
21S-H56S000S-83-S,20211011,2
21S-H57S000S-82-S,20210906,2
21S-H57S000S-82-S,20211011,2
21S-H58S000S-84-S,20210906,2
21S-H58S000S-87-S,20211011,2
21S-H59S000S-83-S,20210906,2
21S-H59S000S-86-S,20211011,2
21S-H60S000S-81-S,20210906,2
21S-H60S000S-84-S,20211011,2
21S-H62S000S-00-S,20210906,2
21S-H62S000S-00-S,20211011,2
21S-GLOBAUX-00-S,20210906,2
21S-GLOBAUX-00-S,20211011,2
