trip_id,start_time,end_time,headway_secs
21N-GLOBAUX-00-S_1_3,15:10:35,15:16:30,355
21N-GLOBAUX-00-S_1_3,15:16:30,15:20:30,240
21N-GLOBAUX-00-S_1_3,15:20:30,16:24:15,225
21N-GLOBAUX-00-S_1_3,16:24:15,16:43:45,195
21N-GLOBAUX-00-S_1_3,16:43:45,17:17:40,185
21N-GLOBAUX-00-S_1_3,17:17:40,17:20:55,195
21N-GLOBAUX-00-S_1_3,17:20:55,17:47:35,200
21N-GLOBAUX-00-S_1_3,17:47:35,17:58:05,210
21N-GLOBAUX-00-S_1_3,17:58:05,18:12:45,220
21N-GLOBAUX-00-S_1_3,18:12:45,18:28:25,235
21N-GLOBAUX-00-S_1_3,18:28:25,18:45:05,250
21N-GLOBAUX-00-S_1_3,18:45:05,18:49:40,275
21N-GLOBAUX-00-S_1_3,18:49:40,19:14:40,300
21N-GLOBAUX-00-S_1_3,19:14:40,19:20:05,325
21N-GLOBAUX-00-S_1_3,19:20:05,19:25:35,330
21N-GLOBAUX-00-S_1_3,19:25:35,19:31:15,340
21N-GLOBAUX-00-S_1_3,19:31:15,19:48:30,345
21N-GLOBAUX-00-S_1_3,19:48:30,20:48:30,360
21N-GLOBAUX-00-S_1_3,20:48:30,22:25:50,365
21N-GLOBAUX-00-S_1_3,22:25:50,22:32:00,370
21N-GLOBAUX-00-S_1_3,22:32:00,22:39:20,440
21N-GLOBAUX-00-S_1_3,22:39:20,22:54:20,450
21N-GLOBAUX-00-S_1_3,22:54:20,23:02:10,470
21N-GLOBAUX-00-S_1_3,23:02:10,23:18:00,475
21N-GLOBAUX-00-S_1_3,23:18:00,24:38:00,480
21N-GLOBAUX-00-S_1_3,05:30:00,05:38:00,480
21N-GLOBAUX-00-S_1_3,05:38:00,06:27:00,420
21N-GLOBAUX-00-S_1_3,06:27:00,06:33:25,385
21N-GLOBAUX-00-S_1_3,06:33:25,06:39:25,360
21N-GLOBAUX-00-S_1_3,06:39:25,06:49:25,300
21N-GLOBAUX-00-S_1_3,06:49:25,07:08:10,225
21N-GLOBAUX-00-S_1_3,07:08:10,07:15:10,210
21N-GLOBAUX-00-S_1_3,07:15:10,07:22:00,205
21N-GLOBAUX-00-S_1_3,07:22:00,07:37:00,180
21N-GLOBAUX-00-S_1_3,07:37:00,07:45:45,175
21N-GLOBAUX-00-S_1_3,07:45:45,07:51:25,170
21N-GLOBAUX-00-S_1_3,07:51:25,08:02:05,160
21N-GLOBAUX-00-S_1_3,08:02:05,08:04:40,155
21N-GLOBAUX-00-S_1_3,08:04:40,08:17:10,150
21N-GLOBAUX-00-S_1_3,08:17:10,08:27:30,155
21N-GLOBAUX-00-S_1_3,08:27:30,08:39:10,175
21N-GLOBAUX-00-S_1_3,08:39:10,08:42:10,180
21N-GLOBAUX-00-S_1_3,08:42:10,08:48:30,190
21N-GLOBAUX-00-S_1_3,08:48:30,08:58:15,195
21N-GLOBAUX-00-S_1_3,08:58:15,09:08:15,200
21N-GLOBAUX-00-S_1_3,09:08:15,09:37:35,220
21N-GLOBAUX-00-S_1_3,09:37:35,09:41:55,260
21N-GLOBAUX-00-S_1_3,09:41:55,09:52:35,320
21N-GLOBAUX-00-S_1_3,09:52:35,15:10:35,360
21N-GLOBAUX-00-S_1_2,14:52:30,14:57:30,300
21N-GLOBAUX-00-S_1_2,14:57:30,15:02:00,270
21N-GLOBAUX-00-S_1_2,15:02:00,15:06:25,265
21N-GLOBAUX-00-S_1_2,15:06:25,15:38:25,240
21N-GLOBAUX-00-S_1_2,15:38:25,15:41:55,210
21N-GLOBAUX-00-S_1_2,15:41:55,16:01:25,195
21N-GLOBAUX-00-S_1_2,16:01:25,16:19:25,180
21N-GLOBAUX-00-S_1_2,16:19:25,17:03:25,165
21N-GLOBAUX-00-S_1_2,17:03:25,17:12:10,175
21N-GLOBAUX-00-S_1_2,17:12:10,17:18:30,190
21N-GLOBAUX-00-S_1_2,17:18:30,17:21:45,195
21N-GLOBAUX-00-S_1_2,17:21:45,17:32:00,205
21N-GLOBAUX-00-S_1_2,17:32:00,17:53:30,215
21N-GLOBAUX-00-S_1_2,17:53:30,18:33:30,240
21N-GLOBAUX-00-S_1_2,18:33:30,18:38:45,315
21N-GLOBAUX-00-S_1_2,18:38:45,18:44:25,340
21N-GLOBAUX-00-S_1_2,18:44:25,19:30:25,345
21N-GLOBAUX-00-S_1_2,19:30:25,19:48:10,355
21N-GLOBAUX-00-S_1_2,19:48:10,22:18:10,360
21N-GLOBAUX-00-S_1_2,22:18:10,22:30:20,365
21N-GLOBAUX-00-S_1_2,22:30:20,22:37:30,430
21N-GLOBAUX-00-S_1_2,22:37:30,22:44:50,440
21N-GLOBAUX-00-S_1_2,22:44:50,22:52:15,445
21N-GLOBAUX-00-S_1_2,22:52:15,22:59:45,450
21N-GLOBAUX-00-S_1_2,22:59:45,23:07:20,455
21N-GLOBAUX-00-S_1_2,23:07:20,23:23:00,470
21N-GLOBAUX-00-S_1_2,23:23:00,24:35:00,480
21N-GLOBAUX-00-S_1_2,05:30:00,06:24:00,405
21N-GLOBAUX-00-S_1_2,06:24:00,06:29:00,300
21N-GLOBAUX-00-S_1_2,06:29:00,06:37:00,240
21N-GLOBAUX-00-S_1_2,06:37:00,06:44:30,225
21N-GLOBAUX-00-S_1_2,06:44:30,06:51:10,200
21N-GLOBAUX-00-S_1_2,06:51:10,07:33:25,195
21N-GLOBAUX-00-S_1_2,07:33:25,07:42:55,190
21N-GLOBAUX-00-S_1_2,07:42:55,08:33:55,180
21N-GLOBAUX-00-S_1_2,08:33:55,08:47:15,200
21N-GLOBAUX-00-S_1_2,08:47:15,08:54:45,225
21N-GLOBAUX-00-S_1_2,08:54:45,09:02:25,230
21N-GLOBAUX-00-S_1_2,09:02:25,09:10:15,235
21N-GLOBAUX-00-S_1_2,09:10:15,09:23:45,270
21N-GLOBAUX-00-S_1_2,09:23:45,09:29:20,335
21N-GLOBAUX-00-S_1_2,09:29:20,09:46:35,345
21N-GLOBAUX-00-S_1_2,09:46:35,09:52:30,355
21N-GLOBAUX-00-S_1_2,09:52:30,14:52:30,360
21N-GLOBAUX-00-S_2_1,10:02:32,10:08:31,359
21N-GLOBAUX-00-S_2_1,10:08:31,10:32:31,360
21N-GLOBAUX-00-S_2_1,10:32:31,10:44:30,359
21N-GLOBAUX-00-S_2_1,10:44:30,10:50:30,360
21N-GLOBAUX-00-S_2_1,10:50:30,10:56:32,362
21N-GLOBAUX-00-S_2_1,10:56:32,12:32:32,360
21N-GLOBAUX-00-S_2_1,12:32:32,12:38:34,362
21N-GLOBAUX-00-S_2_1,12:38:34,12:50:34,360
21N-GLOBAUX-00-S_2_1,12:50:34,12:56:35,361
21N-GLOBAUX-00-S_2_1,12:56:35,14:02:35,360
21N-GLOBAUX-00-S_2_1,14:02:35,14:08:32,357
21N-GLOBAUX-00-S_2_1,14:08:32,14:20:32,360
21N-GLOBAUX-00-S_2_1,14:20:32,14:25:32,300
21N-GLOBAUX-00-S_2_1,14:25:32,14:30:22,290
21N-GLOBAUX-00-S_2_1,14:30:22,14:44:22,280
21N-GLOBAUX-00-S_2_1,14:44:22,15:16:22,240
21N-GLOBAUX-00-S_2_1,15:16:22,15:20:17,235
21N-GLOBAUX-00-S_2_1,15:20:17,15:23:57,220
21N-GLOBAUX-00-S_2_1,15:23:57,15:30:57,210
21N-GLOBAUX-00-S_2_1,15:30:57,15:34:17,200
21N-GLOBAUX-00-S_2_1,15:34:17,15:40:17,180
21N-GLOBAUX-00-S_2_1,15:40:17,15:49:02,175
21N-GLOBAUX-00-S_2_1,15:49:02,15:51:59,177
21N-GLOBAUX-00-S_2_1,15:51:59,16:03:39,175
21N-GLOBAUX-00-S_2_1,16:03:39,16:06:36,177
21N-GLOBAUX-00-S_2_1,16:06:36,16:15:21,175
